#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
55.336124,365,245.972433
16.17273,365,246.125335
59.990096,365,247.348368
57.103099,365,247.537345
35.743319,365,247.698262
46.156922,365,247.851353
-7.457653,365,248.009047
32.526432,365,249.210514
63.753283,365,249.414989
89.454999,365,249.591182
48.211996,365,249.755674
14.933702,365,249.914567
57.828534,365,250.066572
28.384843,365,251.297679
11.213395,365,251.500794
28.652494,365,251.673031
-5.272417,365,251.833031
14.349159,365,251.992811
28.22496,365,252.144901
47.748855,365,253.383773
37.506582,365,253.568763
-9.72789,365,253.733781
26.665202,365,253.894839
68.730464,365,254.045768
87.752497,365,255.269672
2.398336,365,255.479679
59.693338,365,255.648673
27.220123,365,255.808667
24.196004,365,255.963661
78.989107,365,256.116923
67.863283,365,257.333449
74.028601,365,257.519932
26.580848,365,257.688017
63.021338,365,257.847027
-1.23664,365,258.005533
66.899264,365,259.232999
85.438058,365,259.441099
2.266606,365,259.622006
-4.759304,365,259.840226
41.94452,365,260.040227
34.882243,365,260.206922
87.326318,365,261.423041
2.265118,365,261.623792
110.502454,365,261.79389
6.12422,365,261.955793
45.019539,365,262.113695
53.50256,365,262.266694
28.435075,365,263.504687
37.106768,365,263.691685
19.462874,365,263.852779
56.231183,365,264.008776
52.339517,365,264.161252
51.277062,365,265.341406
51.896054,365,265.548505
40.371443,365,265.72032
38.190019,365,265.882327
120.542565,365,266.035229
24.871648,365,266.188231
54.334738,365,267.399278
72.316556,365,267.591366
71.342548,365,267.75437
35.897955,365,267.91337
84.640421,365,268.065493
38.1938,365,268.217397
39.666989,365,269.443253
36.549991,365,269.624255
68.047057,365,269.789441
3.642056,365,269.95044
48.45796,365,270.102449
36.683083,365,271.292104
27.621485,365,271.496197
67.780433,365,271.665196
16.927804,365,271.817517
57.379551,365,271.973518
58.47749,365,272.12652
106.655692,365,273.350163
69.881109,365,273.545245
62.855932,365,273.713253
52.466161,365,273.874196
62.122225,365,274.033631
15.330623,365,275.405133
-23.890164,365,275.613146
6.065503,365,275.787223
46.913671,365,275.950249
-14.414492,365,276.107241
26.386841,365,276.260329
64.562664,365,277.523079
56.650693,365,277.717363
38.388376,365,277.89613
84.761226,365,278.062124
16.586015,365,278.220029
40.622259,365,278.379029
47.923459,365,279.603436
39.301551,365,279.783449
15.138757,365,279.950684
36.017815,365,280.10969
72.622528,365,280.262686
13.176337,365,281.430444
109.521045,365,281.636459
-22.90571,365,281.805498
82.807262,365,281.970496
80.162468,365,282.13523
44.76057,365,282.291149
49.070183,365,283.475611
68.407373,365,283.668611
54.555986,365,283.836709
63.867151,365,283.99661
83.078401,365,284.151609
16.417576,365,285.332876
83.041143,365,285.546894
56.060726,365,285.724883
103.972045,365,285.895044
59.481731,365,286.056044
30.816286,365,286.21104
78.246881,365,287.417413
-1.740897,365,287.624359
52.731442,365,287.796666
86.359118,365,287.962753
10.911488,365,288.115666
82.539723,365,288.27167
40.132539,365,289.503993
77.984949,365,289.693088
63.390553,365,289.859078
58.23509,365,290.022083
34.292007,365,290.176943
89.015764,365,291.345772
67.614754,365,291.551789
82.419999,365,291.726125
-4.453038,365,291.886116
27.686726,365,292.041104
128.400659,365,292.195458
63.152788,365,293.44449
67.306932,365,293.64047
55.067031,365,293.814083
57.897206,365,293.978996
95.29228,365,294.132995
30.622505,365,295.382725
26.391947,365,295.60343
71.581068,365,295.786501
33.678351,365,295.955504
47.413585,365,296.134135
64.380207,365,296.296143
99.672858,365,297.540781
110.864024,365,297.738401
48.478842,365,297.914367
98.93803,365,298.077433
22.580406,365,298.236755
62.912313,365,298.398639
33.533018,365,299.638664
48.727487,365,299.821681
50.695401,365,299.99369
